y u k eps stress
0.00E+00 0.00E+00 2.785205E-28 30.8628 5.8009E-31
3.01E-04 5.36E-02 0.000245760323475 30.6378 0.0000001112
1.20E-03 2.14E-01 0.003891579105 30.06 0.0000071903
2.71E-03 4.82E-01 0.0193869799 29.2662 0.000083237
4.82E-03 8.56E-01 0.0600244185 28.4076 0.00047696
7.52E-03 1.33E+00 0.143021415 27.5778 0.0018538
1.08E-02 1.91E+00 0.28817254 26.7462 0.0055974
1.47E-02 2.59E+00 0.5150775 25.7976 0.014051
1.92E-02 3.36E+00 0.8377694 24.6204 0.030437
2.43E-02 4.21E+00 1.25666735 23.2794 0.058187
3.00E-02 5.11E+00 1.7522065 22.059 0.099746
3.62E-02 6.05E+00 2.2848285 21.2706 0.15537
4.31E-02 6.99E+00 2.804364 21.0186 0.22265
5.05E-02 7.91E+00 3.263671 21.1428 0.29702
5.85E-02 8.77E+00 3.6301255 21.3552 0.37304
6.70E-02 9.58E+00 3.88939 21.4092 0.44566
7.61E-02 1.03E+01 4.04345 21.1824 0.51115
8.58E-02 1.10E+01 4.10454 20.6622 0.56738
9.60E-02 1.16E+01 4.089725 19.9098 0.61359
1.07E-01 1.21E+01 4.01733 18.9936 0.65008
1.18E-01 1.25E+01 3.90454 17.96328 0.67778
1.30E-01 1.29E+01 3.76636 16.86546 0.69786
1.42E-01 1.33E+01 3.615515 15.72408 0.71148
1.55E-01 1.36E+01 3.46134 14.56668 0.71961
1.69E-01 1.39E+01 3.31 13.42548 0.72308
1.82E-01 1.41E+01 3.164445 12.339 0.72261
1.97E-01 1.43E+01 3.026445 11.31714 0.71894
2.12E-01 1.46E+01 2.89648 10.36278 0.71272
2.27E-01 1.48E+01 2.7735 9.50328 0.70437
2.43E-01 1.49E+01 2.65736 8.71866 0.69434
2.59E-01 1.51E+01 2.548235 8.001 0.68301
2.76E-01 1.53E+01 2.445565 7.3629 0.67047
2.93E-01 1.54E+01 2.34874 6.78438 0.65677
3.10E-01 1.56E+01 2.25752 6.26004 0.64198
3.28E-01 1.57E+01 2.17202 5.77458 0.62628
3.47E-01 1.59E+01 2.09222 5.31756 0.60981
3.66E-01 1.60E+01 2.01646 4.91292 0.59252
3.85E-01 1.61E+01 1.943955 4.54536 0.57457
4.04E-01 1.63E+01 1.874515 4.19976 0.5562
4.24E-01 1.64E+01 1.807365 3.88782 0.53747
4.44E-01 1.65E+01 1.742685 3.60738 0.51854
4.65E-01 1.66E+01 1.68067 3.36186 0.49947
4.86E-01 1.68E+01 1.620975 3.1329 0.4802
5.07E-01 1.69E+01 1.562275 2.91888 0.46062
5.29E-01 1.70E+01 1.50314 2.72484 0.4406
5.50E-01 1.71E+01 1.44409 2.54034 0.42015
5.72E-01 1.72E+01 1.385735 2.3598 0.39934
5.95E-01 1.73E+01 1.327825 2.19186 0.37818
6.17E-01 1.74E+01 1.27023 2.0421 0.35664
6.40E-01 1.75E+01 1.213355 1.90656 0.33483
6.63E-01 1.76E+01 1.15784 1.779462 0.31287
6.86E-01 1.77E+01 1.103915 1.661994 0.29066
7.10E-01 1.78E+01 1.051205 1.556388 0.26817
7.33E-01 1.78E+01 0.999995 1.461528 0.24557
7.57E-01 1.79E+01 0.95101 1.374426 0.22299
7.81E-01 1.80E+01 0.905 1.292688 0.20066
8.05E-01 1.80E+01 0.86253 1.219464 0.17865
8.29E-01 1.81E+01 0.823815 1.156806 0.15676
8.53E-01 1.82E+01 0.789365 1.104066 0.1347
8.78E-01 1.82E+01 0.75986 1.058364 0.11241
9.02E-01 1.82E+01 0.7355 1.019088 0.089993
9.26E-01 1.83E+01 0.716385 0.990288 0.067582
9.51E-01 1.83E+01 0.70278 0.97074 0.045131
9.75E-01 1.83E+01 0.694755 0.95859 0.022612
1.00E+00 1.83E+01 0.692095 0.954864 0
