y u k eps stress
0.00E+00 0.00E+00 5.89264E-28 85.94805 -1.1206E-30
7.53E-05 2.95E-02 0.000094891547367 85.6518 0.000000024414
3.01E-04 1.18E-01 0.0015049868015 84.39965 0.0000015728
6.78E-04 2.66E-01 0.00752988939 82.62215 0.000018113
1.20E-03 4.72E-01 0.02343522 80.48915 0.00010324
1.88E-03 7.37E-01 0.056168007 78.19815 0.00040027
2.71E-03 1.06E+00 0.11403078 75.89135 0.0012143
3.69E-03 1.44E+00 0.20626952 73.5806 0.0031009
4.82E-03 1.88E+00 0.342456015 71.1711 0.0069486
6.09E-03 2.37E+00 0.53134395 68.493 0.014015
7.52E-03 2.92E+00 0.7791126 65.4357 0.025858
9.10E-03 3.51E+00 1.0872755 62.0861 0.044135
1.08E-02 4.14E+00 1.4505975 58.73255 0.070276
1.27E-02 4.80E+00 1.856582 55.77795 0.10513
1.47E-02 5.49E+00 2.28627 53.56595 0.14869
1.69E-02 6.18E+00 2.7174835 52.2348 0.19999
1.92E-02 6.86E+00 3.128063 51.67785 0.25724
2.17E-02 7.53E+00 3.4993355 51.61465 0.31808
2.43E-02 8.18E+00 3.81843 51.69365 0.38001
2.71E-02 8.79E+00 4.07862 51.6423 0.44073
3.00E-02 9.36E+00 4.27866 51.2789 0.49837
3.30E-02 9.89E+00 4.42157 50.5442 0.55162
3.62E-02 1.04E+01 4.512915 49.454 0.59969
3.96E-02 1.08E+01 4.55945 48.06755 0.64224
4.31E-02 1.12E+01 4.5684 46.4678 0.67924
4.67E-02 1.16E+01 4.546755 44.72585 0.7109
5.05E-02 1.20E+01 4.50124 42.88515 0.73759
5.44E-02 1.23E+01 4.437725 40.96545 0.7598
5.85E-02 1.26E+01 4.361505 38.98966 0.7781
6.27E-02 1.28E+01 4.27685 36.995305 0.79302
6.70E-02 1.31E+01 4.187145 35.024255 0.80503
7.15E-02 1.33E+01 4.095315 33.09863 0.81452
7.61E-02 1.35E+01 4.00332 31.248845 0.82184
8.09E-02 1.37E+01 3.91274 29.498995 0.82733
8.58E-02 1.38E+01 3.825005 27.839995 0.83133
9.08E-02 1.40E+01 3.740925 26.25486 0.83412
9.60E-02 1.41E+01 3.66083 24.73806 0.8359
1.01E-01 1.43E+01 3.584555 23.30895 0.83683
1.07E-01 1.44E+01 3.5119 21.967925 0.837
1.12E-01 1.46E+01 3.4429 20.71933 0.83649
1.18E-01 1.47E+01 3.377185 19.56198 0.83523
1.24E-01 1.48E+01 3.314735 18.49232 0.83321
1.30E-01 1.49E+01 3.25538 17.50956 0.83044
1.36E-01 1.50E+01 3.19892 16.59869 0.82687
1.42E-01 1.51E+01 3.144905 15.76682 0.82252
1.49E-01 1.52E+01 3.093205 14.99815 0.81762
1.55E-01 1.53E+01 3.0443 14.266215 0.81249
1.62E-01 1.54E+01 2.998185 13.578125 0.80726
1.69E-01 1.55E+01 2.95448 12.93941 0.8018
1.75E-01 1.56E+01 2.912825 12.344935 0.79592
1.82E-01 1.57E+01 2.873045 11.7947 0.78961
1.90E-01 1.58E+01 2.834865 11.27251 0.78296
1.97E-01 1.59E+01 2.797885 10.781525 0.77613
2.04E-01 1.60E+01 2.76206 10.30871 0.76929
2.12E-01 1.61E+01 2.726875 9.85604 0.76243
2.19E-01 1.62E+01 2.691915 9.43339 0.75552
2.27E-01 1.62E+01 2.65687 9.03444 0.74851
2.35E-01 1.63E+01 2.621825 8.6663 0.74146
2.43E-01 1.64E+01 2.58698 8.319095 0.73445
2.51E-01 1.65E+01 2.552395 7.988875 0.72737
2.59E-01 1.66E+01 2.518195 7.674455 0.72012
2.67E-01 1.67E+01 2.484395 7.372675 0.71271
2.76E-01 1.67E+01 2.450575 7.09262 0.70521
2.84E-01 1.68E+01 2.41623 6.83271 0.69761
2.93E-01 1.69E+01 2.381335 6.59018 0.68985
3.02E-01 1.70E+01 2.346475 6.361475 0.68192
3.10E-01 1.71E+01 2.31239 6.13356 0.67396
3.19E-01 1.71E+01 2.279425 5.911175 0.66598
3.28E-01 1.72E+01 2.247025 5.69748 0.65794
3.38E-01 1.73E+01 2.21489 5.48734 0.64977
3.47E-01 1.74E+01 2.18278 5.28589 0.64148
3.56E-01 1.74E+01 2.150345 5.10419 0.63298
3.66E-01 1.75E+01 2.117405 4.93434 0.62415
3.75E-01 1.76E+01 2.084145 4.766465 0.615
3.85E-01 1.77E+01 2.050625 4.599775 0.60551
3.94E-01 1.77E+01 2.016805 4.440985 0.59561
4.04E-01 1.78E+01 1.98287 4.28733 0.5853
4.14E-01 1.79E+01 1.94894 4.14197 0.5746
4.24E-01 1.80E+01 1.91508 4.00293 0.5635
4.34E-01 1.80E+01 1.881205 3.8704865 0.55204
4.44E-01 1.81E+01 1.847735 3.741124 0.5404
4.55E-01 1.82E+01 1.814845 3.611327 0.52883
